Land Use,Total Tree Canopy (%)
Residential,16.3
Commercial,5.1
Industrial,4.5
Parkland,21.9
Education,13.3
Hospital/Medical,10.3
Transport,5.1
Other,17.9
Water,1.1
Primary Production,12.7
Infrastructure ,15.2
